Filename,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89
AD_Data_11,3638.03682,3669.996148,5467.175684,5737.76466,2419.321118,2339.422799,8176.261375,8219.939123,2412.929253,2677.126363,2294.67974,2767.677792,5225.350103,3798.89877,4784.311379,4494.546806,3442.019609,3832.98872,2751.698128,3064.899541,1112.184609,1066.376239,5693.021601,3747.763846,1785.461116,2064.572579,2934.931607,2027.286697,6485.612931,5891.169433,3792.506905,3975.740384,5722.850307,5867.732593,1097.270256,532.655464,3008.438061,2852.902666,3507.003576,4269.766201,930.01644,1015.241315,5572.641466,4111.034872,2720.804111,2911.494767,5292.464692,5821.924223,2755.959371,1993.196747,7766.116667,5535.355583,2814.551473,2158.319941,6846.753336,6630.495218,6090.382577,4662.865933,3274.765794,2685.64885,3991.720048,2018.764209,1846.183839,1700.236242,1831.269486,2221.173285,6700.805739,5491.677835,1756.697721,865.032474,3027.613658,2782.592145,2052.854159,1642.709451,203.474387,129.967933,1403.014493,1479.716879,834.138457,906.5796,5738.829971,6825.447118,2324.508446,1811.028578,12536.579004,8199.698215,2611.077085,1448.822862,9322.535933,9322.535933
AD_Data_20,3702.77098,3690.992357,4839.94356,5043.392515,2041.985037,2093.382668,5857.188335,7978.411387,1997.012111,2320.388871,1302.073312,2196.17793,4162.137305,3553.932008,3080.645492,3461.844586,2539.899585,2833.294394,3579.630823,2643.765631,538.604339,643.541168,4105.385754,2985.345718,1113.615332,1620.096152,1572.981657,1511.946971,4315.259413,4756.42241,2873.984185,3746.673123,3819.486434,5450.290425,654.249008,455.083189,1703.617302,1637.228695,1796.775508,2213.310473,407.968694,507.551603,4083.970075,3125.618419,2000.224463,2332.167494,4979.145477,4152.500249,1843.890002,2112.65678,6689.187483,4710.378699,1596.538905,1889.933713,4676.113612,6732.018841,5030.543108,6407.571297,2950.009847,2060.188365,4085.040859,2125.506187,3123.476851,4380.577236,1833.182163,3163.095858,5200.797759,5001.63194,1340.621535,1038.660454,2583.801728,2960.717687,1111.473765,1296.719392,59.963903,57.822335,822.362092,1204.63197,539.675123,406.89791,4699.67086,5598.058614,925.157353,1279.586848,8390.663216,10194.934212,497.914548,1773.21826,6027.442987,9936.875274
AD_Data_18,5379.558336,4195.459193,6819.218445,7725.395037,2100.924109,2497.043606,7717.941175,9013.848241,1704.804611,3122.103135,1667.535304,2557.739335,4789.638439,3814.247419,4313.65614,3781.23746,1751.657455,3536.324868,3451.137879,3216.87366,753.90485,853.999562,4919.548597,3013.489725,1868.789564,2142.452766,2226.574917,1953.976553,5718.176616,5442.38374,3787.626485,3735.449454,4739.591083,5483.912397,923.21399,650.615626,2178.657236,1862.40054,2246.806827,3889.850871,636.77274,760.293874,5734.149176,3020.943586,3978.232372,2772.836482,5385.94736,4816.259373,1730.360708,2110.507645,6459.303417,5037.745544,1429.011735,1509.939375,6309.16135,7283.487533,5673.453447,6319.809723,2745.15071,2777.095831,4853.528681,2319.215767,1897.540173,3341.459631,2894.227941,2730.242987,6877.784499,6204.807289,1829.390582,823.119278,3792.950671,4121.985415,1819.807046,1861.335703,168.244303,94.770525,1663.275954,1813.418022,448.296528,517.510956,5848.086773,7234.505014,2039.163542,1712.258473,12639.619447,11382.046526,1602.580225,1902.86436,8314.250096,8688.008009
AD_Data_06,6025.141413,4369.401808,6161.785301,6457.491214,2637.867547,2856.711273,8783.639892,9156.207991,3374.463502,2768.106252,1320.535069,2109.440013,3916.768931,2397.673213,5434.797118,3692.587553,2274.90722,3313.614271,3095.838076,3052.06933,681.084377,615.965024,4972.556468,3247.427388,1998.416854,2313.338314,1773.167946,2176.694426,5609.872099,4755.847802,5222.358575,4244.500755,5198.872906,6217.29688,1127.312072,733.393365,2230.070945,1905.541712,2415.821229,2748.890705,450.497817,512.414578,6920.799395,5808.432748,3969.077919,3522.850224,5117.740598,5134.821084,2600.503984,2752.093296,8116.43341,5040.878411,2780.916616,2627.192243,6885.570892,7532.494297,6345.400525,5601.331856,3662.696703,4530.598894,5632.290237,4182.583993,3388.341397,5020.595334,1911.946894,4172.97622,8118.568471,8197.565718,2066.738798,1390.992073,4163.368447,4534.869016,1699.50835,1385.654421,124.901053,49.106397,1794.518554,1686.697986,673.611664,503.874335,6027.276474,6141.502224,2398.740743,2110.507543,13569.378545,14117.021625,1466.78673,2990.152569,8554.120862,11312.619341
AD_Data_39,5377.10178,4376.164795,6168.887754,6379.105863,2002.941068,2541.825053,8159.023658,8353.235312,1800.192638,2635.729589,1490.734508,2522.617307,3354.952966,3930.118249,5018.557188,4522.357084,2375.357921,3258.914236,3600.385276,4606.657747,856.878891,827.000175,4688.824216,3118.057432,1342.408025,2024.283008,2154.468842,1988.00171,5325.881124,4439.123518,3270.652303,3571.573657,4448.727391,5594.789568,804.591138,534.615597,1926.110084,1702.019714,2259.044348,2611.186358,418.302024,481.260747,4254.515737,3586.513015,2546.093441,2503.409561,3651.605932,4270.522192,2200.354013,2189.683043,5418.718563,4715.501641,1462.989986,1696.684229,6403.649094,6111.264516,4756.051327,5599.057956,3009.213538,3025.219993,4445.5261,1779.917795,2291.057258,3080.709037,3429.649756,2257.977251,5752.719924,5517.958584,1480.063538,1311.462212,3503.279449,3388.032973,2678.413469,2681.61476,323.330391,209.151012,1727.630042,2009.34365,628.520133,660.533043,4995.081054,6673.624635,1745.770691,2180.07917,8780.074112,8173.963016,1724.428751,1376.555129,6478.345884,6794.206596
AD_Data_00,6553.121869,4534.969623,6450.612549,6209.288524,1852.642406,2147.356702,8381.20475,8412.171107,1745.861863,2101.441069,1665.776457,3003.73665,3325.146081,3425.519791,5040.041588,4522.155958,2416.443668,3743.725806,4816.870255,4987.719122,922.583884,947.143409,5960.489861,5046.44842,1554.724693,1713.827701,2658.835499,2002.135165,5594.232601,5738.386333,2714.36138,3505.605197,3835.557073,4782.700481,880.939472,383.342146,2672.716969,2394.019754,3010.143482,3787.505829,796.582844,828.617007,4751.734124,4718.632156,2288.307017,2126.000593,4985.583511,4573.410619,1734.116004,1554.724693,5453.282286,4348.103675,1751.200891,1871.862903,6815.802003,7613.452652,6728.241958,5887.879092,2478.376382,2115.322539,4988.786927,1335.824582,2018.152246,3037.906423,2120.661566,1725.57356,5320.874413,4747.462902,1802.455551,1120.127887,3644.419902,3596.368658,2225.306498,2439.935387,182.594727,175.120089,2055.525436,1986.118083,559.530041,651.361307,6200.74608,7305.924691,2643.886223,2634.275974,11741.58841,9821.674263,2379.070478,1998.931748,7094.499218,7822.742515
AD_Data_34,5281.98931,4587.888575,5805.496931,5883.330039,1772.035978,1632.362865,7643.63774,8178.873637,1867.994605,2103.626344,1781.63184,2502.38775,3186.892622,3368.147806,4537.776848,3667.751964,2597.28017,3100.529858,4271.225106,4616.676163,794.32419,715.424874,4040.924402,3618.706443,1271.984911,1492.689753,1490.557339,1468.166992,4640.132717,4532.445813,3155.97262,3232.739521,4612.411336,5399.272077,766.602809,382.768301,2154.804279,1683.5408,2233.703594,2521.579475,695.166942,713.29246,4705.171342,2956.591917,2426.687055,2943.797434,4528.180985,3749.8499,1764.572529,2015.131166,6686.183885,3596.316097,1994.873234,1568.390447,5408.867939,5599.718986,5775.643136,6125.359021,3345.75746,2375.509121,5798.033482,2698.569831,2262.491182,3184.760208,2344.589119,2617.538102,6411.102487,4875.764456,1410.591816,875.355919,3058.947786,3102.662271,3221.011245,3035.491233,227.102084,213.241393,1796.558738,1849.869086,632.260731,612.002799,6060.320396,6513.458356,2202.783592,1812.551842,11198.371765,10243.050324,1713.394595,2004.469096,5846.012795,7000.71494
AD_Data_13,5644.757116,4680.342317,6283.082491,6059.295632,2327.383338,2968.905668,10175.908194,11307.630312,2383.862879,2504.281522,1667.744929,2098.26822,3973.815232,4230.637295,4361.712455,3864.053106,2212.292953,2680.114055,3966.35567,4156.041675,792.844873,851.455718,4757.06924,3513.453693,1188.201658,2348.696372,2278.363359,2233.605987,4353.187242,4764.528802,3129.819077,3273.682058,5351.702896,6664.585804,1088.030398,735.299681,1913.910474,1807.345303,2422.22634,3412.21678,515.775428,642.587982,5173.73906,4715.508824,3479.352838,2869.800059,5679.923623,5910.104392,2498.953264,2134.500378,6987.478273,6131.759948,2151.550806,2430.751554,5422.035908,6871.322236,5140.703857,6496.212834,4275.394667,3414.348084,4767.725758,2909.229173,1686.926659,3774.538362,1740.209245,3103.177784,7025.841734,6162.663848,1755.128369,1114.67169,2544.776287,2648.144503,996.38435,986.793485,206.736432,158.782105,1148.772545,1300.095088,526.431946,431.588943,5036.269989,4942.492638,1210.580344,2243.196853,9121.978651,11061.464766,1010.237823,1992.768701,4591.893225,8721.293608
AD_Data_19,5660.396424,4778.214755,6229.128929,6407.934981,1680.346036,2519.44191,6888.341604,9724.464113,1949.63226,2776.87954,1913.009334,2633.619269,4490.617068,3601.972529,4646.803078,3890.647361,2244.769961,2965.379896,3400.546434,3135.56879,560.115345,847.713032,4736.206104,3986.513257,1296.882454,2001.335215,1795.60054,1761.131904,6156.960221,5457.893184,3076.325821,3068.785806,3801.244335,5220.921307,1111.613532,447.015131,1920.549348,2123.052588,1990.563766,3200.197483,794.932933,1126.69356,3536.266691,2929.834115,2490.358998,2089.661097,4647.880223,4443.222692,1704.043224,1930.243652,4953.789373,5430.964561,2242.615672,2110.12685,4456.148431,7019.753282,4624.183035,4952.712228,3422.089332,3419.935042,4720.04893,2671.31934,2295.395772,3699.992715,1835.454901,3413.472173,6195.737437,5184.29838,975.893275,959.736102,4595.100123,4582.174384,3961.738924,4019.904749,872.487365,742.152833,1483.228521,2222.149919,526.723854,593.506837,5094.895354,5811.196709,1508.002853,2771.493815,10040.067568,9562.892379,1258.105238,2194.144151,6672.912625,8802.428083
AD_Data_09,4537.781667,5147.302564,4980.778466,5891.323693,2190.432364,2384.710479,7509.596337,8519.415546,1816.820606,2569.381433,1776.257044,2354.821538,4742.734403,3084.965659,4718.182773,3994.443425,2523.48056,2992.096451,2427.408965,3190.644414,939.366706,877.4539,6193.415486,4392.606813,1715.411701,1847.777009,2317.460362,1951.320839,5756.823461,5795.252099,2806.358034,1823.225379,4616.773867,4917.798198,1082.406636,466.480966,2014.301107,1907.55489,2384.710479,2962.20751,830.485565,823.01333,2752.984926,2391.115252,1798.673749,1705.804541,3482.061585,3379.585217,1834.967463,1583.046392,5163.314496,4068.098314,1979.074856,1929.971596,6739.956115,7428.469212,4432.102913,6644.951983,2433.813738,2733.770607,5449.394357,2745.512691,2661.18318,5983.12544,1855.249244,4197.261236,6356.737198,5019.207104,1421.859605,1888.340571,4428.900526,4283.725672,3842.863797,4009.387895,219.897206,225.234517,2113.575088,2225.658616,543.338242,451.536496,4323.221772,6858.444416,1681.252911,2156.273575,11915.012695,8586.665662,1725.01886,1872.328639,6728.214031,9700.028701
